team,rating
frc4043,1533.4663071297377
frc2471,1524.9984457226221
frc997,1524.692124459371
frc1425,1522.3119119532503
frc955,1519.2695688754977
frc5468,1516.394808587009
frc957,1515.0124536481037
frc2374,1511.0570443540983
frc1359,1505.236151526963
frc2521,1504.8384744997713
frc9997,1504.453550461702
frc2550,1502.9074082959953
frc7034,1501.727170436026
frc6696,1493.1314595652707
frc749,1491.1479320889975
frc753,1490.6006035769328
frc2635,1489.012899864366
frc2990,1488.9066425925887
frc6443,1488.2714833150246
frc2733,1485.9776485690209
frc3636,1482.0325874579698
frc9998,1478.5178343759262
frc9999,1469.3357944458169
frc1540,1456.6996941979387
