Robot,Reef Cycles,L1 Cycles,Algae Remove Cycles,Algae Score Cycles,Points
frc1778,0.0,4.8,0.0,3.0,21.6
frc6831,4.0,1.0,0.0,0.0,18.0
frc2910,14.0,0.0,0.0,0.0,56.0
