Robot,Reef Cycles,L1 Cycles,Algae Remove Cycles,Algae Score Cycles
frc1778,0.0,0.0,0.0,8.0
frc6831,0.0,0.0,4.0,1.0
frc2910,0.0,14.0,0.0,0.0
