Match #,Robot,Team #,Mobility,aL4,aL3,aL2,aL1,aProcessor,aNet,tL4,tL3,tL2,tL1,tProcessor,tNet,Disabled,Deep,Shallow,Park,Algae Removal,Offense,Defense,Accuracy,Comments,Mistake box,Index,"Team, index",Match index,Disable,Mobility,Deep,Shallow,Park,Removal,Offense,Defense,Accuracy
1,R3,2910,TRUE,1,2,0,0,0,0,2,4,4,2,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,3,x,3,"Very fast and efficient with its time usage, was able to quickly remove algae before scoring, had a very fast found intake.",,1,"2910,1","1,R3",0,1,1,0,0,1,3,x,3
1,R2,6831,TRUE,2,0,0,0,0,0,3,3,2,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,x,x,x,Lost track of it in part of teleop. Very fast cycle times and precise auto align. Very quick climb.,,1,"6831,1","1,R2",0,1,1,0,0,0,x,x,x
1,R1,1778,TRUE,1,0,0,0,0,0,4,3,3,5,0,3,FALSE,FALSE,FALSE,TRUE,FALSE,3,x,3,"Can work on both algae and coral, all level and high accuracy, also get and hold coral quick and tight",,1,"1778,1","1,R1",0,1,0,0,1,0,3,x,3
1,B3,9567,FALSE,0,0,0,0,0,0,0,0,0,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,x,2,"I missed half the match, but from what I observed they are a very basic robot. Slow cycle times, takes some time to aim, pretty accurate most of the time when scoring",,1,"9567,1","1,B3",0,0,0,0,0,0,2,x,2
1,B2,2412,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,x,Its elevator got stuck? right after auto they went to collect coral from the station. but when it attempted to move its elevator up. the coral got stuck in the bottom.,,1,"2412,1","1,B2",0,1,1,0,0,0,1,1,x
1,B1,360,TRUE,2,0,0,0,0,0,2,0,1,2,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,x,x,1,"Somewhat slow, but very inaccurate",,1,"360,1","1,B1",0,1,1,0,0,0,x,x,1
2,R3,4043,TRUE,2,0,0,0,0,0,2,0,5,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,3,x,3,"Never missed, atempted to move algae but moved it to the upper pegs instead",,1,"4043,1","2,R3",0,1,1,0,0,0,3,x,3
2,R2,5468,TRUE,3,0,0,0,0,0,3,7,6,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,x,x,x,"Looked like they attempted to climb at 10 seconds left, but they were not fruitful. Their drivebase has the smoothest control I’ve seen; they auto align with high precision. Fast on all levels and no wasted movement.",,1,"5468,1","2,R2",0,1,0,0,1,0,x,x,x
2,R1,948,TRUE,0,0,0,0,0,0,2,2,0,5,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,x,x,x,"Get the coral fast and tight, can work on the level over 1 but need more time to aiming during level 3",,1,"948,1","2,R1",0,1,0,0,1,0,x,x,x
2,B3,9442,FALSE,0,0,0,0,0,0,5,5,9,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,3,x,3,"Their autos missed every time they tried to get algae. Cycle times are smooth and quick, very reliable for ground intake and scoring. Is able to fill up a good chunk of the reef",,1,"9442,1","2,B3",0,0,0,0,1,0,3,x,3
