key,team_number,nickname,country,address,postal_code,gmaps_place_id,gmaps_url,lat,lng,location_name,website,rookie_year,state_prov,city,name,school_name,db_type,team_scouter,pit_c_intake,pit_c_L4,pit_a_ground_intake,pit_c_L3,pit_a_reef_levels,pit_a_processor,pit_max_auto_a,pit_a_net,pit_Endgame,pit_Scout_Notes,pit_max_auto_c,pit_a_reef_remove,pit_c_L2,pit_c_L1,pit_a_reef_intake
frc1359,1359,Scalawags,USA,,97355,,,,,,https://www.scalawags.org,2004,Oregon,Lebanon,Confederated Tribe of Siletz Indians/Gene Haas Foundation/Optimal Control Systems/Argosy/LAM/Feral and Free Creations/Bertha L Harris Fund of Oregon Community FOundation/Pizza Schmizza/Peak Internet/Linn Gear/Cafe Rock/Summit Ace Hardware/International Brotherhood of Electrical Workers Local 280&Venture Crew 308,Venture Crew 308,Swerve,Aa,Both Ways,Tele,Can't,Tele,Can't,Can't,0,Can't,Deep Climb,,0,Can't,Tele,Tele,Can't
frc2147,2147,CHUCK,USA,,99212,,,,,,http://chuck2147.com,2007,Washington,Spokane,True Seals/Spokane Valley Rotary Club/Independent Dealers Education Association&West Valley High School,West Valley High School,Swerve,Aa,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc2374,2374,Jesuit Robotics,USA,,97225,,,,,,http://www.team2374.com,2008,Oregon,Portland,&Jesuit High School,Jesuit High School,Swerve,aarush,Station,Tele,Can,Tele,Both,Tele,0,Tele,None,,1,Tele,Tele,Both,Tele
frc2521,2521,SERT,USA,,97405,,,,,,http://www.sert2521.org,2008,Oregon,Eugene,"Central Lane Robotics,/Google,/Service Family Foundation,/Willamette Valley Company,/Springfield Utility Board,/Jim,&Family/Community",Family/Community,Swerve,Ol,Both Ways,Tele,Can,Tele,Can't,Tele,0,Can't,None,Working on auto coral placement,0,Tele,Tele,Tele,Can't
frc2550,2550,Skynet,USA,,97045,,,,,,http://team2550.blogspot.com/,2008,Oregon,Oregon City,"LAM International/Creative Plastics/Xerox/UnitedHealth Group/Whitaker Ellis Builders, Inc/Argosy/Torrey Edwards/TEL/GK Machine/Autodesk/Troutdale Sand and Gravel&Clackamas Acad-Industrial Sci",Clackamas Acad-Industrial Sci,Swerve,,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc2635,2635,Lake Monsters,USA,,97034,,,,,,https://www.frc2635.org,2008,Oregon,Lake Oswego,LAM Research/Intel/Boeing/Mentor Graphics/DWFritz/WA FIRST Robotics/Really Big Video/Markforged&Lake Oswego High School&Lakeridge High School,Lakeridge High School & Lake Oswego High School,Swerve,P olivi,Station,Tele,Can,Tele,Both,Tele,0,Can't,Deep Climb,"Very consistent deep, unreliable l1",0,Tele,Tele,Can't,Tele
frc2811,2811,StormBots,USA,,98685,,,,,,http://www.stormbots.com,2009,Washington,Vancouver,Boeing/Daimler Truck North America/Guaranteed Rate/Protech/ConMet/OSPI/Vancouver Pubic Schools/SEH America&Skyview High School,Skyview High School,Swerve,,Ground,Tele,Can,Tele,Both,Tele,0,Tele,Deep Climb,,0,Tele,Tele,Can't,Tele
frc2898,2898,Flying Hedgehogs,USA,,97006,,,,,,http://www.team2898.bpsrobotics.org,2009,Oregon,Portland,LAM Research/Intel/UL/Natalie Lee/Fidelity Charitable Donald Marumoto Memorial Fund/SolidWorks/ODE Oregon Dept of Education/Southwest Trailer Service/Friends of Japan/Copperforge/BPS Robotics & Family/Community,Family/Community,Swerve,P oliv,Station,Tele,Can't,Tele,Both,Tele,0,Can't,None,,0,Tele,Tele,Tele,Tele
frc2926,2926,Robo Sparks,USA,,98951,,,,,,http://www.robosparks.com,2009,Washington,Wapato,Washington State Office of Superintendent of Public Instruction/Collins Aerospace/Matilda Moreno Montgomery (1966)/FIRST WA Board Grant/Wolf Den/Wapato School District (WSD)&Wapato Senior High School,Wapato Senior High School,Swerve,Aa,Station,Both,Can't,Tele,Both,Can't,0,Can't,None,,2,Tele,Tele,Tele,Can't
frc2990,2990,Hotwire,USA,,97392,,,,,,http://hotwirerobotics.com,2009,Oregon,Turner,HP Civil Inc/SCTC/Freres Lumber/Blazer Industries/CoBank/Elavate Modular/Oregon State Bridge Construction&Hotwire Robotics,Hotwire Robotics,Swerve,Suhaani,Station,Can't,Can,Can't,L2,Tele,0,Can't,Deep Climb,,1,Tele,Can't,Both,Tele
frc3024,3024,My Favorite Team,USA,,97520,,,,,,,2009,Oregon,Ashland,"Boeing/Rogue Natural Foods/Coast Aluminum Inc./Harbor Freight/Society of Professional Engineers, Southern Oregon Chapter/Ron Constable/Aces High aerial camera systems/Jeff Nielsen/Argosy Foundation&Ashland High School",Ashland High School,Swerve,Aa,Station,Tele,Can,Tele,Both,Tele,0,Tele,Deep Climb,,0,Tele,Tele,Tele,Auto
frc3674,3674,CloverBots,USA,,98604,,,,,,https://www.3674cloverbots.com/,2011,Washington,Battle Ground,Boeing/US Digital/HP/OSPI / CAM Academy/NASA/WSU 4-H&Cam Academy&Family/Community,Family/Community & Cam Academy,Swerve,,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc3712,3712,RoboCats,USA,,97883,,,,,,http://www.firstinspires.org/,2011,Oregon,Union,Union School District/Oregon Masons/Union Lions Club/GRV Lodge #56/VFW Post 4060 & Union High School,Union High School,Swerve,,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
