key,team_number,nickname,city,name,gmaps_place_id,gmaps_url,lat,lng,location_name,website,rookie_year,school_name,state_prov,postal_code,country,address,team_scouter,pit_auto_cor_L1,pit_auto_cor_L2,pit_auto_cor_L3,pit_auto_cor_L4,pit_auto_reef_remove,pit_auto_reef_intake,pit_max_auto_cor,pit_auto_processor,pit_tele_cor_L1,pit_tele_cor_L2,pit_tele_cor_L3,pit_tele_cor_L4,pit_tele_reef_remove,pit_tele_reef_intake,pit_tele_processor,pit_tele_net,pit_Endgame,pit_Scout_Notes,pit_auto_net,pit_auto_place,pit_max_auto_alg,pit_cor_intake,pit_alg_ground_intake,db_type,ba_opr,ba_ccwms,ba_dpr
frc10260,10260,RoboJags,Jackson,NASA&Northampton County High School&Northampton Early College,,,,,,,2025,Northampton Early College & Northampton County High School,North Carolina,,USA,,OS,1,0,0,0,0,Can't,1,0,1,0,0,0,0,Can't,0,0,None,basically kitbot,0,0,0,Station,Can't,Tank,0,0,0
frc10291,10291,MUTUM-X,NOVA MUTUM,SENAI MATO GROSSO/SESI MATO GROSSO/QUALCOMM&SENAI MUTUM,,,,,,,2025,SENAI MUTUM,Mato Grosso,,Brazil,,,0,0,0,0,0,Can't,0,0,0,0,0,0,0,Can't,0,0,None,,0,0,0,Can't,Can't,Swerve,0,0,0
frc10698,10698,Armathronics15,Yerevan,Family/Community,,,,,,,2025,Family/Community,Erevan,,Armenia,,Aa,1,0,0,0,0,Can't,1,0,1,1,1,1,1,Can't,1,0,Deep Climb,,0,0,0,Ground,Can't,Tank,0,0,0
frc1369,1369,Minotaur,Tampa,&Middleton High School,,,,,,http://middletonrobotics.com/,2004,Middleton High School,Florida,33610,USA,,Aa,0,0,0,1,1,L3,1,0,1,1,1,1,1,Both,1,1,None,,1,1,1,Station,Can,Swerve,0,0,0
frc1425,1425,Error Code Xero,Wilsonville,Lam Research/Xerox/TE Connectivity/Verizon/Oregon Institute of Technology/Marie Lamfrom Charitable Foundation/Todd Construction&Wilsonville High School,,,,,,http://www.wilsonvillerobotics.com,2004,Wilsonville High School,Oregon,97070,USA,,OS,0,0,0,1,1,Both,3,1,1,1,1,1,1,Both,1,1,Deep Climb,Don't prefer proc auto,1,1,1,Station,Can't,Swerve,0,0,0
frc1481,1481,The Riveters,Farmington,General Motors/Novelis/Havener Tech/Reagent Chemical/Infineon/Haas Automation/DTE Energy/Pratt & Miller/Thysen-Krupp/EDAG-Dayco/Metro Bolt and Fasteners/IT Rysources/Michigan Department of Education/Mercy High School Dad's Club&Mercy High School,,,,,,http://1481riveters.com/,2004,Mercy High School,Michigan,48336,USA,,Cayden,0,0,0,1,1,L2,3,0,1,1,1,1,1,Both,1,1,Deep Climb,Takes off algae while placing coral,1,1,1,Station,Can't,Swerve,0,0,0
frc1507,1507,Warlocks,Lockport,MAHLE / GM / ExxonMobil / Reid Petroleum / Suzie Vasko / UAW Local 686 / Molex & Lockport High School,,,,,,https://www.warlocks1507.com,2005,Lockport High School,New York,14094,USA,,Aa,0,0,0,1,1,Both,3,0,1,1,1,1,1,Both,1,1,Deep Climb,,1,0,2,Station,Can,Swerve,0,0,0
frc1671,1671,Buchanan Bird Brains,Clovis,Motorola Solutions Foundation/Valley Iron Inc./Keiser Corp./West Coast Products/Lockheed Martin/Foundation for Clovis Schools/Clovis Rotary Club/Amazon Gives/CSM Aviation/Leyland Farms/PG&E&Buchanan High School,,,,,,http://www.team1671.com,2005,Buchanan High School,California,93619,USA,,Aa,0,0,0,1,0,Can't,3,0,1,1,1,1,1,Both,1,1,Deep Climb,,0,1,0,Station,Can't,Swerve,0,0,0
frc1678,1678,Citrus Circuits,Davis,Davis Joint Unified School District/TechnipFMC/Clifford I. Anderson/UC Davis Office of the Chancellor/Sacramento Kings/Moyle/Marchand Family/Bambu Lab/West Coast Products/Gene Haas Foundation/Tesco Controls/Niemela-Pappas & Associates/Lockheed Martin/UCD College of Agricultural & Environmental Science/DMG Mori/PTC/Larry Walker Associates/Law Office of Michael J. Harrington/M.CUBED/Recology/fabworks/Pacific Powder Coating&Davis Senior High School,,,,,,http://www.citruscircuits.org/,2005,Davis Senior High School,California,95616,USA,,OS,0,0,0,1,0,Can't,5,1,1,1,1,1,1,Both,1,1,Deep Climb,no removal of all in auto so ground collect all in auto?,1,1,1,Ground,Can,Swerve,0,0,0
frc1731,1731,Fresta Valley Robotics Club,Warrenton,Riverside Research/Altamira Corp/Waltz Family/Shaw Family/TE Connectivity/Bush Foundation/DeWayne Leppke/Faxlanger Family/Mathnasium - Warrenton/Carmen Rivera State Farm Agency/GH Engineering/Ledos&Family/Community,,,,,,http://team1731.org/,2006,Family/Community,Virginia,20188,USA,,Cayden,0,0,0,1,1,L2,4,0,1,1,1,1,1,Both,1,1,Deep Climb,,1,1,1,Station,Can't,Swerve,0,0,0
