key,team_number,nickname,city,name,gmaps_place_id,gmaps_url,lat,lng,location_name,website,rookie_year,school_name,state_prov,postal_code,country,address,team_scouter,pit_auto_cor_L1,pit_auto_cor_L2,pit_auto_cor_L3,pit_auto_cor_L4,pit_auto_reef_remove,pit_auto_reef_intake,pit_max_auto_cor,pit_auto_processor,pit_tele_cor_L1,pit_tele_cor_L2,pit_tele_cor_L3,pit_tele_cor_L4,pit_tele_reef_remove,pit_tele_reef_intake,pit_tele_processor,pit_tele_net,pit_Endgame,pit_Scout_Notes,pit_auto_net,pit_auto_place,pit_max_auto_alg,pit_cor_intake,pit_alg_ground_intake,db_type,ba_opr,ba_ccwms,ba_dpr
frc179,179,Children of the Swamp,Riviera Beach,Propp Family Foundation/EDF/RTX/OTIS/DoD STEM/Belcan/Aerojet Rocketdyne/FP&L/West Coast Products&Inlet Grove Cmty High School,,,,,,http://www.179swampthing.org,1998,Inlet Grove Cmty High School,Florida,33404,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
frc1796,1796,RoboTigers,Queens,Boyce Technologies/Sunnyside Community Services/West Coast Products/Bloomberg/Gene Haas Foundation/Turner Construction/RoboTigers Alumni Association&Queens Technical High School,,,,,,http://www.RoboTigers1796.com,2006,Queens Technical High School,New York,11101,USA,,Aa,0,0,0,1,1,Both,4,0,1,1,1,1,1,Both,1,1,Deep Climb,,1,1,2,Station,Can,Swerve,0,0,0
frc1833,1833,Team BEAN,Cumming,"Advanced Instrument Technologies/BoldVu by MRI/Microsoft/Automation Direct/NASA/Ignite Wireless/Jones Utilities Construction, Inc./Absolute Trailers/Banks Bookkeeping/Lead Coverage/Megatech/Team Fishel/Avery Banks/Don Mcallister/IBM/Intuitive Foundation Grant/Mountain View/Robin Mitchell/The Trawicks/Fairfield Baptist Church/Sawnee EMC&Family/Community",,,,,,,2006,Family/Community,Georgia,,USA,,OS,0,0,0,1,0,Can't,4,0,1,1,1,1,1,Can't,0,0,Deep Climb,,0,1,0,Both Ways,Can't,Swerve,0,0,0
frc1847,1847,WRATH,Kansas City,Kansas City Kansas Public Schools / KC STEM Alliance & Wyandotte High School,,,,,,http://www.firstinspires.org/,2006,Wyandotte High School,Kansas,66102,USA,,Cayden,0,0,0,1,0,Can't,3,0,0,1,1,1,0,Can't,0,0,Both Climbs,Can do L1 but not reliable ,0,1,0,Station,Can't,Swerve,0,0,0
frc2056,2056,OP Robotics,Stoney Creek,GM/Tube-Mac/Motorola/Winona Men's Club/HWDSB&Orchard Park Secondary School,,,,,,http://www.2056.ca,2007,Orchard Park Secondary School,Ontario,L8E 4M5,Canada,,Aa,0,0,0,1,0,Can't,5,0,1,1,1,1,1,Both,1,1,Deep Climb,,0,1,0,Ground,Can,Swerve,0,0,0
frc2129,2129,Ultraviolet,Minneapolis,"Pentair/Boston Scientific/Dorsey Foundation/Haas Foundation/Banner Engineering/HPE/Palmer Wireless MedTech/Stratasys/Donaldson Foundation/Alarm.com, Inc/Virtex/Red Cow/3M Company/Southwest Foundation/Settergren Hardware&Southwest High School",,,,,,http://www.swrobotics.com,2007,Southwest High School,Minnesota,55410,USA,,,0,0,0,0,0,Can't,0,0,0,0,0,0,0,Can't,0,0,None,,0,0,0,Can't,Can't,Swerve,0,0,0
frc226,226,Hammerheads,Troy,General Motors/Magna/thyssenkrupp/Aptiv/Michigan Department of Education/Kettering University/GMI Alumni Association/Stellantis/BAE Systems/Tebis America/Sandler EAM Consulting Group/Troy Community Foundation&Troy High School,,,,,,http://www.hammerhead226.org/,1997,Troy High School,Michigan,48098,USA,,OS,0,0,0,1,1,Both,3,0,1,1,0,1,1,Both,1,1,Deep Climb,Can score proc but don't. Prefer l2 l4 but can l1,1,1,2,Station,Can,Swerve,0,0,0
frc2438,2438,'Iobotics,Honolulu,'Iolani School & Iolani School,,,,,,http:///www.iobotics.org,2008,Iolani School,Hawaii,96826,USA,,Cayden,0,0,0,1,1,Both,4,1,1,1,1,1,1,Both,1,0,None,Can collect algae off ground but needs wall,0,1,2,Station,Can't,Swerve,0,0,0
frc2630,2630,Thunderbolts,Emek Hefer,Emek Hefer / Yarok,,,,,,https://www.thunderbolts2630.com,2008,Emek Hefer / Yarok,HaMerkaz,4287500,Israel,,Aa,0,0,0,1,0,Can't,4,0,1,1,1,1,1,Both,1,1,Deep Climb,,0,1,0,Station,Can,Swerve,0,0,0
frc2648,2648,Infinite Loop,Oakland,"Wrabacon, Inc/IDEXX/BAE Systems/JR Metal Frames/The Robotics Institute of Maine&Mid-Maine Technical Center&Messalonskee High School",,,,,,http://www.team2648.com,2008,Mid-Maine Technical Center & Messalonskee High School,Maine,04963,USA,,,0,0,0,0,0,Can't,0,0,0,0,0,0,0,Can't,0,0,None,,0,0,0,Can't,Can't,Swerve,0,0,0
frc2724,2724,Avalanche Robotics,Charlotte,Queen City Robotics Alliance/Synchrony Foundation/NASA/RTX Corporation/John Deere/Gene Haas Foundation/Argosy Foundation/G + S Heating and Air/Salant Family Foundation/Doosan Bobcat/AFI Systems&Family/Community,,,,,,,2009,Family/Community,North Carolina,,USA,,OS,0,0,1,1,1,Both,2,0,1,1,1,0,1,Both,1,1,Deep Climb,,1,1,2,Both Ways,Can,Swerve,0,0,0
frc302,302,The Dragons,Lake Orion,General Motors/APTIV/ETAS/HI-LEX/MI Dept. of Education/Williams Family/Cummins/Stellantis/Freedom Building Company/Borg Warner/The Stone Family/ABB Inc/Lake Orion Lions Club/Master Radiator/View Newspaper Group - Lake Orion Review/Kettering / GMI Alumni Association/Acme Manufacturing/Lee Machinery Movers/Altair&Lake Orion High School,,,,,,http://www.team302.org/,1999,Lake Orion High School,Michigan,48360,USA,,Cayden,0,0,0,1,1,Both,3,0,1,1,1,1,1,Both,1,1,Deep Climb,"Can deep climb but not well, try to stay away from L1, accurate auto",1,1,2,Station,Can,Swerve,0,0,0
frc3173,3173,IgKnighters,Rochester,Xerox/L3Harris/Gene Haas Foundation/Big Dog 3D Printing/Reiber Precision Machine/Windsor Technologies/Gauss Sales Inc&McQuaid Jesuit High School,,,,,,http://www.igknighters.com/,2010,McQuaid Jesuit High School,New York,14618,USA,,Aa,0,0,0,1,0,Can't,3,0,1,1,1,1,1,Both,1,1,Deep Climb,,0,1,0,Ground,Can,Swerve,0,0,0
frc3255,3255,SuperNURDs,Escondido,Qualcomm/Caterpillar/Nordson/Teradata/Meziere Enterprises/Precision Graphic Systems/EUHSD/SolidWorks/Solar Turbine/Hoa Tran/DoD Stem/Uva's Grip and Lighting/Motorola Solutions&San Pasqual High School,,,,,,https://www.frcteam3255.com,2010,San Pasqual High School,California,92025,USA,,Aa,0,0,0,1,1,Both,3,0,1,1,1,1,1,Both,1,1,Deep Climb,,1,1,2,Station,Can,Swerve,0,0,0
frc3256,3256,WarriorBorgs,San Jose,Apple/Intuitive Foundation/Biola University/FIRST NorCal/Pop Up Tea&Valley Christian High School,,,,,,http://www.vcrobotics.net/,2010,Valley Christian High School,California,95111,USA,,OS,0,0,0,1,1,Both,3,0,1,1,1,1,1,Both,1,1,Deep Climb,"Didn't get max barge in auto, said l1 scorinf is iffy",1,1,1,Station,Can,Swerve,0,0,0
frc3284,3284,Camdenton  LASER 3284,Camdenton,Camdenton R-III Afterschool Services/Nihon Superior/Gerbes/Kroger/Community Foundation of the Lake/Scott's Concrete/Lake Regional Health Systems/Maddon Metals/AJ Manufacturing Company/REV Robotics&Camdenton High School,,,,,,http://www.laser3284.org,2010,Camdenton High School,Missouri,65020,USA,,Cayden,0,0,0,1,1,Both,1,0,1,0,0,0,1,Both,1,1,Deep Climb,l1 and algae specifically ,1,1,2,Ground,Can,Swerve,0,0,0
frc3297,3297,Full Metal Jackets,Perham,The Pentair Foundation/BTD Manufacturing/KLN Family Brands&Perham High School,,,,,,http:///www.perham.k12.mn.us,2010,Perham High School,Minnesota,56573,USA,,Aa,0,0,0,1,1,L3,1,0,1,1,1,1,1,Both,1,1,Deep Climb,L1 ground,1,1,1,Station,Can,Swerve,0,0,0
frc3492,3492,Putnam Area Robotics Team (P.A.R.T.s),Winfield,Toyota/NASA Robotics Alliance Project/Putnam County Schools/American Electric Power/Optimum&Buffalo High School&Hurricane High School&Winfield High School,,,,,,http://parts3492.org,2011,Buffalo High School & Winfield High School & Hurricane High School,West Virginia,25213,USA,,,0,0,0,0,0,Can't,0,0,0,0,0,0,0,Can't,0,0,None,,0,0,0,Can't,Can't,Swerve,0,0,0
frc3792,3792,Army Ants,Columbia,"Missouri Cancer Associates/3M/Boeing/University of Missouri-Columbia, College of Engineering/Crawford's Inc.&Family/Community",,,,,,http://armyants.us,2011,Family/Community,Missouri,65201,USA,,OS,1,0,0,0,1,Can't,3,0,1,0,0,0,1,L2,1,0,Deep Climb,dealgifies bottom alg in auto,0,1,0,Station,Can,Swerve,0,0,0
frc3891,3891,Rodeo Robotics,Golden Valley,Oesterle Family/Breck School&Breck School,,,,,,,2011,Breck School,Minnesota,,USA,,,0,0,0,0,0,Can't,0,0,0,0,0,0,0,Can't,0,0,None,,0,0,0,Can't,Can't,Swerve,0,0,0
frc4005,4005,Hostile Gato Robotics,Fort Gibson,Fort Gibson Education Foundation/Muskogee Manufacturing/Department of Defense (STEM)/OG&E/Georgia Pacific/Energy Services for Education/3 Rivers Auto collision/Garrett Funeral Home/Century 21 Clinkenbeard Agency/Alred Glass&Ft Gibson High School,,,,,,http://www.firstinspires.org/,2012,Ft Gibson High School,Oklahoma,74434,USA,,Aa,0,0,0,1,0,Can't,2,0,0,1,1,1,1,Can't,1,0,Deep Climb,,0,1,0,Station,Can,Swerve,0,0,0
frc4013,4013,Clockwork Mania,Orlando,Lockheed Martin/Big Construction Services/Orlando Science Schools/Orange County Florida/Walt Disney Imagineering/Gene Haas Foundation/Discovery Science Schools&Orlando Science Middle & HS,,,,,,http://www.clockworkmania.orlandosciencerobotics.org,2012,Orlando Science Middle & HS,Florida,32804,USA,,Aa,0,0,0,1,0,Can't,1,0,1,1,1,1,1,Both,1,1,Deep Climb,,0,1,0,Station,Can,Swerve,0,0,0
frc4068,4068,Bearbotics,Monument,"Gene Haas Foundation/Lockheed Martin/DoD STEM/Medtronic/Boeing/Monument Hill Kiwanis/Lewis-Palmer School District 38/Black Hills Energy/Elevation Seven Thousand, LLC&Lewis-Palmer High School&Monument Academy&Palmer Ridge High School",,,,,,https://www.bearbotics4068.org,2012,Monument Academy & Lewis-Palmer High School & Palmer Ridge High School,Colorado,80132,USA,,OS,0,0,0,1,1,Both,3,0,0,1,1,1,1,Both,1,1,None,Can do 2 barge auto,1,1,2,Station,Can't,Swerve,0,0,0
frc418,418,Purple Haze,Austin,Liberal Arts & Science Academy,,,,,,http://www.lasarobotics.org,2000,Liberal Arts & Science Academy,Texas,78724,USA,,Cayden,0,0,0,1,0,Can't,3,0,1,1,1,1,1,Both,0,0,Deep Climb,,0,1,0,Station,Can't,Swerve,0,0,0
frc4415,4415,EPIC Robotz,Cerritos,Boeing/Raytheon/Gene Haas Foundation/West Coast Sand and Gravel/Walt Disney Imagineering/Trim-Loc/Stellar Solutions/Gentoo Property Management/Fidelity Hearing/The Aardema Family/Emergent Battery Technology&Valley Christian High School,,,,,,http://www.epicrobotz.org,2012,Valley Christian High School,California,90703,USA,,Aa,0,0,0,1,1,Both,3,0,1,1,1,1,1,Both,1,1,Deep Climb,,1,1,2,Ground,Can,Swerve,0,0,0
frc4421,4421,FORGE Robotics,Calgary,GENE HAAS Foundation/TELUS/Ledcor/Aecon/Encepta/FIRST AB/Patronscan/Tatranex Solutions/SubTerra Engineering/iLF Consulting Engineers/Pandell/Universal Group/Brandt Consulting/Sureus Murphy/Mott Telecom/Polar Comms/MRL Integrated Solutions/Shing Digital/Peloton/Stavely Elks Lodge/Thorncliffe Family Dental/Home Sweet Homes Canada/Liteaccess Technologies/Clearwater Environmantal/Ironman Directional Drilling/Nanton Community Bus Society/Nanton Boosters Club&Family/Community,,,,,,,2012,Family/Community,Alberta,,Canada,,Aa,0,0,0,1,1,Both,3,0,0,1,1,1,1,Both,1,1,Deep Climb,,1,1,1,Station,Can,Swerve,0,0,0
frc4451,4451,ROBOTZ Garage,Laurens,Bosch Rexroth Corporation/Michelin Laurens Proving Grounds/Laurens County School District 55/Fountain Inn High School CTE/Laurens County Water and Sewer Commission/Palmetto Air Solutions/Gene Haas Foundation/STUEKEN Precision Metal/FIRST South Carolina/Promach Pharma Solutions/Argosy&Laurens District High School&Fountain Inn HS,,,,,,http://frcteam4451.org  ,2013,Fountain Inn HS & Laurens District High School,South Carolina,29360,USA,,OS,0,0,0,1,1,Both,3,0,1,1,1,1,1,Both,0,1,Deep Climb,climb unreliable?,1,1,2,Station,Can,Swerve,0,0,0
frc4500,4500,RoboHounds,Clayton,Clayco/Boeing/World Wide Technology/Clayton Education Foundation/Optimist Club of Clayton & Clayton High School,,,,,,https://www.robohounds.com/,2013,Clayton High School,Missouri,63105,USA,,Suhaani,0,0,0,1,0,Can't,3,0,1,1,1,1,1,Both,1,0,Deep Climb,Can collect coral from ground but only places L1,0,1,0,Both Ways,Can,Swerve,0,0,0
frc4607,4607,C.I.S.,Becker,"Liberty Paper Inc./Valley/Grand Irrigation/The Department of Defense/Clear Lake Lions/Clearwater Lions/Amax Manufacturing Inc/JC Signs/Lanzer Systems/Becker Lions/Limelight/Delta ModTech/PMMI/UMC/Knights of Columbus/Hubbard Electric/McDonald's Meats/Pizza Depot/Darter Plastics/JJJ Construction/Saint Cloud State University/Central Minnesota Manufacturers Association/Sherburne State Bank/Santiago Lions/Dahlheimer Beverages/Lutgen Companies/EMR/Grede Foundry/Lommel Photography/Becker American Legion/Buhler Companies/Country Lumber/TJ Potter Trucking, Inc./Viking Coca-Cola/Charlie's Bar and Grill/Becker Robotics Booster Club/Slack/Microsoft&Becker High School",,,,,,https://www.frc4607cis.com,2013,Becker High School,Minnesota,55308,USA,,Aa,0,0,0,1,1,Both,3,0,1,1,1,1,1,Both,1,1,Deep Climb,,1,1,2,Station,Can,Swerve,0,0,0
frc4613,4613,Barker Redbacks,Sydney,Rockwell Automation&Barker College,,,,,,http://team4613.org/,2013,Barker College,New South Wales,2077,Australia,,Aa,0,0,1,0,1,Both,2,0,1,1,1,0,1,Both,1,1,Deep Climb,,1,1,3,Both Ways,Can,Swerve,0,0,0
frc4655,4655,Stateline Robotics,Rockton,Schneider Electric/Dick's Refrigeration/Woodward/All World Supply&Honenegah Cmty High School,,,,,,http://statelinerobotics.wixsite.com/stateline4655,2013,Honenegah Cmty High School,Illinois,61072,USA,,OS,0,0,0,1,1,Both,3,1,1,1,1,1,1,Both,1,1,Deep Climb,"Autos: 3 l4, 1 l4+2 barge, 1 l4 + 2 proc",1,1,2,Station,Can,Swerve,0,0,0
frc4786,4786,Nicolet FEAR,Milwaukee,Nicolet Union High School/Lipmann Jungers LLC/Snap-On Tools - Team Excitement / Todd Gaulke/Nicolet Foundation/ABB/Rockwell Automation/Bohnsack Family/Boyer Family/Morel Family/Shamah Family&Nicolet High,,,,,,http://www.nicoletfear.com ,2013,Nicolet High,Wisconsin,53217,USA,,Cayden,0,0,0,1,1,Both,3,0,1,1,1,1,1,Both,1,1,Deep Climb,,1,1,2,Station,Can't,Swerve,0,0,0
frc494,494,Martians,Goodrich,General Motors/People of the state of Michigan/Patti Engineering/Leidos/Kettering University/Mid-Michigan Robotics Alliance/The TenBrink Family/The Siemon Family/Mid-States Bolt and Screw&Goodrich High School,,,,,,http://www.494themartians.com/,2001,Goodrich High School,Michigan,48438,USA,,Aa,0,0,0,1,1,Both,2,0,0,1,1,1,1,Both,1,1,Deep Climb,,1,1,1,Station,Can,Swerve,0,0,0
frc4967,4967,That ONE Team-OurNextEngineers,Belmont,Integrated Packaging Machinery/Dematic/Preferred Tool & Die/Michigan Dept. of Ed.&Paradise Teams,,,,,,http://www.ThatONETeam.org,2014,Paradise Teams,Michigan,49306,USA,,Aa,0,0,0,1,1,Both,3,0,1,1,1,1,1,Both,1,1,Deep Climb,,1,1,2,Both Ways,Can,Swerve,0,0,0
frc537,537,Charger Robotics,Sussex,Wisconsin Department of Public Instruction/Clarios/Regal Rexnord Corporation/Johnson Controls/Lannon Stone Products/The Woods Family&Hamilton High School,,,,,,https://www.chargerrobotics.org/,2001,Hamilton High School,Wisconsin,53089,USA,,OS,0,0,0,1,0,Can't,1,0,1,1,1,1,0,Can't,0,0,Deep Climb,"heavily don't prefer alg, coral focused",0,0,0,Station,Can't,Swerve,0,0,0
frc5660,5660,Symmetrical Chaos,Burton,General Motors/Cypress Integration Solutions/Kettering University/Mid Michigan Metal Sales/ESE LLC/DCS Waterjet Services LLC/ACS&Atherton High School,,,,,,https://symmetricalchaos.wixsite.com/home,2015,Atherton High School,Michigan,48519,USA,,,0,0,0,0,0,Can't,0,0,0,0,0,0,0,Can't,0,0,None,,0,0,0,Can't,Can't,Swerve,0,0,0
frc5968,5968,Little Apple Cyborgs,Manhattan,"Greater Manhattan Community Foundation - YES! Grant Funds/USD 383 Manhattan Ogden Unified School District/Ultra Electronics/Steel & Pipe/Walson Ink/Flint Hills Neuropsychology/Manhattan Optimist Club/Orthopaedic & Sports Medicine Center/Alms Group/BG Consultants/Aeromod Wastewater Process Solutions/Hayden-Kohlmeier Orthodontics/McCullough Development, Inc/Midland Exteriors/Nichols Chiropractic/Teknix Solutions&Manhattan High School",,,,,,https://cyborgindians.wixsite.com/frcteam5968,2016,Manhattan High School,Kansas,66502,USA,,Aa,0,0,0,1,0,Can't,2,0,1,1,1,1,0,Can't,1,0,None,,0,1,0,Station,Can,Swerve,0,0,0
frc6017,6017,PrepaTec - Cyberius,Santa Catarina,"PrepaTec Santa Catarina/Talos Industries/Crafting Buddies&Tecnologico de Monterrey, PrepaTec Santa Catarina",,,,,,http://cyberius.team,2016,"Tecnologico de Monterrey, PrepaTec Santa Catarina",Nuevo León,66180,Mexico,,Aa,0,0,0,1,0,Can't,2,0,1,1,1,1,1,L2,0,1,Deep Climb,,0,0,0,Both Ways,Can't,Swerve,0,0,0
frc6083,6083,Overlooking,Chiayi,Mawhwa Packing/Diing Kuen Plastic Machinery /Concordia Middle School Parents Association&Concordia Middle School,,,,,,http://team6083.page.link/offical,2016,Concordia Middle School,Chiayi,62153,Chinese Taipei,,OS,0,0,0,1,1,Can't,2,0,1,1,1,1,1,Both,1,0,None,1 dealg in auto,0,1,0,Station,Can,Swerve,0,0,0
frc6146,6146,Blackjacks,Dawson,"Breberg Farms/Argosy Foundation/Hughes Real Estate and Auction Service, Janell Welling/David Liebl/Barb Torstenson/Anderson Family/Medtronic&Dawson-Boyd Jr Sr High School",,,,,,http://dawsonboydrobotics.weebly.com/,2016,Dawson-Boyd Jr Sr High School,Minnesota,56232,USA,,Cayden,1,0,0,0,0,Can't,1,0,1,1,1,1,1,Can't,0,0,Deep Climb,,0,0,0,Station,Can't,Swerve,0,0,0
frc6348,6348,PrepaTec - HORUS,Colima,PrepaTec/LA MARINA/Google/LICEO LLANKAY/SALES FORCE&PrepaTec Colima,,,,,,http://www.horuscolima.com,2017,PrepaTec Colima,Colima,28017,Mexico,,Aa,0,0,0,1,0,Can't,1,0,0,1,1,1,1,Both,1,1,Deep Climb,,0,0,0,Station,Can't,Swerve,0,0,0
frc6424,6424,Stealth Panther Robotics,Knob Noster,Knob Noster Public Schools/C&C ProPaint/Mama PIn's/Boeing/DoDEA/Nana of the North&Knob Noster High School,,,,,,https://stealthpantherrobotics6424.weebly.com/,2017,Knob Noster High School,Missouri,65336,USA,,Aa,0,0,0,1,1,L3,3,1,1,1,1,1,1,Both,1,1,Deep Climb,,0,0,1,Station,Can,Swerve,0,0,0
frc649,649,MSET Fish,Saratoga,KLA/Micron/Qualcomm/MSET Families & Friends/Trial & Error Robotics/Intuitive Surgical/Gorman Group/PG&E/Rotary Club of Saratoga/SolidWorks/GrabCAD&Saratoga High School,,,,,,http://saratogamset.org,2001,Saratoga High School,California,95070,USA,,OS,0,0,0,1,1,Can't,3,0,0,1,1,1,1,Can't,0,0,Deep Climb,"deep climb unreliable and not tested, also auto is mostly 1-2 corals",0,1,0,Ground,Can't,Swerve,0,0,0
frc6832,6832,STEAMex,Monterrey,FEDs 201/Fundacion RobotiX/Gene Haas Foundation&Project STEAMex,,,,,,https://www.facebook.com/STEAMex6832/,2018,Project STEAMex,Nuevo León,66100,Mexico,,,1,0,0,0,0,Can't,1,0,1,0,0,0,0,Can't,1,0,Deep Climb,They have mechanism for deepclimb they haven't tested. They said they won't use it unless theyneedto,0,1,0,Station,Can,Tank,0,0,0
frc6909,6909,SAKURA Tempesta,Chiba,"JERA Co, Inc./fuRo (Future Robotics Technology Center)/BOSCH Corp./MISUMI Group Inc./SAKURA internet Inc./Autodesk Inc./THK Co., LTD./Markforged, Inc./Nulab inc./Leave a Nest Co., Ltd./SmartMeeting Inc./WorkRobotics/KOSUMOSU BUS Co., Ltd. /Chiba Institute of Technology/D&Pmedia Co., Inc. &Family/Community",,,,,,https://sakura-tempesta.org/,2018,Family/Community,Chiba,2630051,Japan,,Aa,1,0,0,0,1,Can't,3,1,1,0,0,0,0,Can't,1,0,Deep Climb,,1,1,1,Station,Can,Tank,0,0,0
frc6911,6911,SO BOTZ,Orangeburg,Orange & Rockland/GooseTown Communications/Werfen/South Orangetown Central School District&Tappan Zee High School,,,,,,https://blogs.socsd.org/botz,2018,Tappan Zee High School,New York,10962,USA,,Aa,0,0,0,1,1,Both,3,0,1,1,1,1,1,Both,1,1,Deep Climb,Wip climb,1,1,2,Station,Can,Swerve,0,0,0
frc694,694,StuyPulse,New York,Belliveau Family/Stuyvesant Parents' Association/Stuyvesant Alumni Association/Bloomberg/HBK/The Cobras&Stuyvesant High School,,,,,,http://www.stuypulse.com,2001,Stuyvesant High School,New York,10282,USA,,OS,0,0,0,1,1,Both,4,0,1,1,1,1,1,Both,1,1,Deep Climb,"primary station collect, ground collect for l1. Center auto can score 2 barge btw",1,1,2,Both Ways,Can,Swerve,0,0,0
frc6995,6995,NOMAD,Escondido,Caterpillar/The Hsu Family/Friends of NOMAD/Gene Haas/Qualcomm/Intuitive/Solar Turbines/PTC/Orange County Robotics Alliance OCRA/Shoebox Educational Services/Escondido Rotary Club&Family/Community,,,,,,http://frc6995nomad.org/  https://www.facebook.com/FRC6995NOMAD/  https://www.instagram.com/frc6995nomad,2018,Family/Community,California,92029,USA,,Cayden,0,0,0,1,1,Both,3,0,1,1,1,1,1,Both,1,1,Deep Climb,,1,1,2,Both Ways,Can,Swerve,0,0,0
frc7034,7034,2B Determined,West Linn,Siemens/Erickson Forensics/Clackamas Steel & Manufacturing/Gene Haas/Teledyne Flir&West Linn High School,,,,,,,2018,West Linn High School,Oregon,97068,USA,,Aa,0,0,0,1,1,Can't,3,0,1,1,1,1,0,Can't,0,0,Deep Climb,,0,1,0,Station,Can't,Swerve,0,0,0
