key,comp_level,set_number,match_number,team_key,r1,r3,r2,b2,b3,b1,a_reefAlgae,a_Station,a_L4,a_L3,a_L2,a_L1,t_Defense,t_timeFrozen,t_reefAlgae,t_Net,t_Proc,t_L4,t_L3,t_L2,t_L1,match_Scouter,t_Tipped,end_Pos,auto_Notes,tele_Notes,d_break_Notes,a_Net,start_Pos_5isBlue,a_Proc,a_Leave
2025orsal_qm1,qm,1,1,frc4061,frc4061,frc9613,frc3786,frc3674,frc2374,frc2147,,,,,,,,,,,,,,,,,0,None,,,,,1,,
2025orsal_qm1,qm,1,1,frc3786,frc4061,frc9613,frc3786,frc3674,frc2374,frc2147,,,,,,,,,,,,,,,,,0,None,,,,,1,,
2025orsal_qm1,qm,1,1,frc9613,frc4061,frc9613,frc3786,frc3674,frc2374,frc2147,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm1,qm,1,1,frc2147,frc4061,frc9613,frc3786,frc3674,frc2374,frc2147,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm1,qm,1,1,frc3674,frc4061,frc9613,frc3786,frc3674,frc2374,frc2147,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm1,qm,1,1,frc2374,frc4061,frc9613,frc3786,frc3674,frc2374,frc2147,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm10,qm,1,10,frc4513,frc4513,frc2635,frc749,frc753,frc3024,frc6845,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm10,qm,1,10,frc749,frc4513,frc2635,frc749,frc753,frc3024,frc6845,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm10,qm,1,10,frc2635,frc4513,frc2635,frc749,frc753,frc3024,frc6845,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm10,qm,1,10,frc6845,frc4513,frc2635,frc749,frc753,frc3024,frc6845,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm10,qm,1,10,frc753,frc4513,frc2635,frc749,frc753,frc3024,frc6845,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm10,qm,1,10,frc3024,frc4513,frc2635,frc749,frc753,frc3024,frc6845,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm11,qm,1,11,frc2521,frc2521,frc4692,frc2898,frc4061,frc7034,frc9600,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm11,qm,1,11,frc2898,frc2521,frc4692,frc2898,frc4061,frc7034,frc9600,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm11,qm,1,11,frc4692,frc2521,frc4692,frc2898,frc4061,frc7034,frc9600,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm11,qm,1,11,frc9600,frc2521,frc4692,frc2898,frc4061,frc7034,frc9600,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm11,qm,1,11,frc4061,frc2521,frc4692,frc2898,frc4061,frc7034,frc9600,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm11,qm,1,11,frc7034,frc2521,frc4692,frc2898,frc4061,frc7034,frc9600,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm12,qm,1,12,frc2990,frc2990,frc2811,frc2926,frc3712,frc9567,frc3674,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm12,qm,1,12,frc2926,frc2990,frc2811,frc2926,frc3712,frc9567,frc3674,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm12,qm,1,12,frc2811,frc2990,frc2811,frc2926,frc3712,frc9567,frc3674,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm12,qm,1,12,frc3674,frc2990,frc2811,frc2926,frc3712,frc9567,frc3674,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm12,qm,1,12,frc3712,frc2990,frc2811,frc2926,frc3712,frc9567,frc3674,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm12,qm,1,12,frc9567,frc2990,frc2811,frc2926,frc3712,frc9567,frc3674,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm13,qm,1,13,frc997,frc997,frc3786,frc4060,frc5937,frc9613,frc2550,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm13,qm,1,13,frc4060,frc997,frc3786,frc4060,frc5937,frc9613,frc2550,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm13,qm,1,13,frc3786,frc997,frc3786,frc4060,frc5937,frc9613,frc2550,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm13,qm,1,13,frc2550,frc997,frc3786,frc4060,frc5937,frc9613,frc2550,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm13,qm,1,13,frc5937,frc997,frc3786,frc4060,frc5937,frc9613,frc2550,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm13,qm,1,13,frc9613,frc997,frc3786,frc4060,frc5937,frc9613,frc2550,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm14,qm,1,14,frc6845,frc6845,frc8532,frc5683,frc9438,frc753,frc2374,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm14,qm,1,14,frc5683,frc6845,frc8532,frc5683,frc9438,frc753,frc2374,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm14,qm,1,14,frc8532,frc6845,frc8532,frc5683,frc9438,frc753,frc2374,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm14,qm,1,14,frc2374,frc6845,frc8532,frc5683,frc9438,frc753,frc2374,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm14,qm,1,14,frc9438,frc6845,frc8532,frc5683,frc9438,frc753,frc2374,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm14,qm,1,14,frc753,frc6845,frc8532,frc5683,frc9438,frc753,frc2374,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm15,qm,1,15,frc4513,frc4513,frc847,frc4061,frc3024,frc6343,frc7034,,,,,,,,,,,,,,,,,,,,,,,,,
2025orsal_qm15,qm,1,15,frc4061,frc4513,frc847,frc4061,frc3024,frc6343,frc7034,,,,,,,,,,,,,,,,,,,,,,,,,
